Sample Name,Analysis Name,Mineral phase,Context,Unit Abbreviation,SiO2  ,TiO2,   Al2O3 ,FeO*   ,FeO,Fe2O3,CaO   ,Na2O  ,K2O,MnO   ,MgO   ,NiO   ,Cr2O3 ,V2O3 ,Total  ,XAb,XAn,XOr,XFa,XFo,XTp,XWo,XEn,XFs,XJd,XAe,XQuad,,,,,,,,,,
R14AC20,MW4-R1 ,Plagioclase,Phenocryst Rim,md1,56.9,n/a,27.7,0.24,n/a,n/a,9.4,5.5,0.5,n/a,n/a,n/a,n/a,n/a,100.2,50,47,2.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-R2 ,Plagioclase,Phenocryst Rim,md1,64.0,n/a,20.4,0.36,n/a,n/a,2.2,8.0,3.3,n/a,n/a,n/a,n/a,n/a,98.3,70,11,19,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-R3 ,Plagioclase,Phenocryst Rim,md1,54.0,n/a,28.2,0.38,n/a,n/a,10.9,5.4,0.3,n/a,n/a,n/a,n/a,n/a,99.2,47,52,1.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-R4 ,Plagioclase,Phenocryst Rim,md1,56.0,n/a,27.9,0.30,n/a,n/a,10.1,5.8,0.4,n/a,n/a,n/a,n/a,n/a,100.5,50,48,2.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-R5 ,Plagioclase,Phenocryst Rim,md1,56.4,n/a,27.6,0.37,n/a,n/a,9.8,5.7,0.4,n/a,n/a,n/a,n/a,n/a,100.3,50,48,2.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-C1 ,Plagioclase,Phenocryst Core,md1,55.2,n/a,27.7,0.43,n/a,n/a,9.9,5.9,0.4,n/a,n/a,n/a,n/a,n/a,99.5,51,47,2.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-C2 ,Plagioclase,Phenocryst Core,md1,55.0,n/a,27.2,0.36,n/a,n/a,9.9,5.6,0.4,n/a,n/a,n/a,n/a,n/a,98.5,49,48,2.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-C3 ,Plagioclase,Phenocryst Core,md1,55.1,n/a,27.4,0.37,n/a,n/a,9.9,5.5,0.4,n/a,n/a,n/a,n/a,n/a,98.7,49,49,2.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-C4 ,Plagioclase,Phenocryst Core,md1,56.7,n/a,26.3,0.31,n/a,n/a,8.5,6.4,0.6,n/a,n/a,n/a,n/a,n/a,98.8,56,41,3.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-C5 ,Plagioclase,Phenocryst Core,md1,55.1,n/a,27.4,0.31,n/a,n/a,10.1,5.8,0.4,n/a,n/a,n/a,n/a,n/a,99.1,50,48,2.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-R1 ,Plagioclase,Phenocryst Rim,md1,59.3,n/a,25.6,0.16,n/a,n/a,7.2,7.1,0.7,n/a,n/a,n/a,n/a,n/a,100.1,62,35,3.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-R2 ,Plagioclase,Phenocryst Rim,md1,59.8,n/a,25.2,0.32,n/a,n/a,6.9,7.1,0.7,n/a,n/a,n/a,n/a,n/a,100.0,63,33,4.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-R3 ,Plagioclase,Phenocryst Rim,md1,58.0,n/a,25.3,0.18,n/a,n/a,7.4,6.7,0.7,n/a,n/a,n/a,n/a,n/a,98.3,59,36,4.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-R4 ,Plagioclase,Phenocryst Rim,md1,59.0,n/a,24.5,0.40,n/a,n/a,6.4,7.3,0.8,n/a,n/a,n/a,n/a,n/a,98.4,64,31,4.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-R5 ,Plagioclase,Phenocryst Rim,md1,58.8,n/a,25.3,0.28,n/a,n/a,7.0,7.0,0.8,n/a,n/a,n/a,n/a,n/a,99.2,61,34,4.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-C1 ,Plagioclase,Phenocryst Core,md1,58.7,n/a,25.0,0.27,n/a,n/a,6.8,7.3,0.8,n/a,n/a,n/a,n/a,n/a,98.9,63,33,4.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-C2 ,Plagioclase,Phenocryst Core,md1,58.4,n/a,24.9,0.29,n/a,n/a,6.9,7.2,0.8,n/a,n/a,n/a,n/a,n/a,98.5,63,33,4.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-C3 ,Plagioclase,Phenocryst Core,md1,58.5,n/a,25.2,0.22,n/a,n/a,7.2,7.1,0.8,n/a,n/a,n/a,n/a,n/a,99.0,61,35,4.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-C5 ,Plagioclase,Phenocryst Core,md1,58.0,n/a,25.6,0.17,n/a,n/a,7.1,6.9,0.7,n/a,n/a,n/a,n/a,n/a,98.5,61,35,4.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-R1 ,Plagioclase,Phenocryst Rim,md1,57.2,n/a,27.2,0.27,n/a,n/a,9.3,6.0,0.4,n/a,n/a,n/a,n/a,n/a,100.4,52,45,2.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-R2 ,Plagioclase,Phenocryst Rim,md1,57.3,n/a,27.0,0.32,n/a,n/a,9.1,5.9,0.5,n/a,n/a,n/a,n/a,n/a,100.1,52,45,3.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-R3 ,Plagioclase,Phenocryst Rim,md1,57.3,n/a,26.7,0.49,n/a,n/a,8.8,6.2,0.6,n/a,n/a,n/a,n/a,n/a,100.1,54,43,3.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-R4 ,Plagioclase,Phenocryst Rim,md1,54.2,n/a,27.7,0.31,n/a,n/a,10.5,5.2,0.4,n/a,n/a,n/a,n/a,n/a,98.3,46,52,2.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-R5 ,Plagioclase,Phenocryst Rim,md1,54.7,n/a,27.8,0.35,n/a,n/a,10.6,5.3,0.4,n/a,n/a,n/a,n/a,n/a,99.2,47,51,2.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-C1 ,Plagioclase,Phenocryst Core,md1,54.9,n/a,27.9,0.36,n/a,n/a,10.2,5.4,0.4,n/a,n/a,n/a,n/a,n/a,99.2,48,50,2.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-C2 ,Plagioclase,Phenocryst Core,md1,54.8,n/a,27.5,0.34,n/a,n/a,10.2,5.6,0.4,n/a,n/a,n/a,n/a,n/a,98.8,49,49,2.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-C3 ,Plagioclase,Phenocryst Core,md1,55.5,n/a,27.1,0.26,n/a,n/a,9.6,5.6,0.4,n/a,n/a,n/a,n/a,n/a,98.5,50,47,2.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-C4 ,Plagioclase,Phenocryst Core,md1,55.4,n/a,27.3,0.32,n/a,n/a,9.7,5.8,0.4,n/a,n/a,n/a,n/a,n/a,98.9,50,47,2.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-C5 ,Plagioclase,Phenocryst Core,md1,55.8,n/a,27.0,0.40,n/a,n/a,9.6,5.7,0.6,n/a,n/a,n/a,n/a,n/a,99.1,50,47,3.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-R1 ,Plagioclase,Phenocryst Rim,md1,57.7,n/a,26.4,0.30,n/a,n/a,8.3,6.7,0.6,n/a,n/a,n/a,n/a,n/a,100.0,57,39,3.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-R2 ,Plagioclase,Phenocryst Rim,md1,58.3,n/a,26.6,0.34,n/a,n/a,8.3,6.7,0.5,n/a,n/a,n/a,n/a,n/a,100.7,58,39,2.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-R3 ,Plagioclase,Phenocryst Rim,md1,64.4,n/a,21.0,0.39,n/a,n/a,2.3,8.3,3.2,n/a,n/a,n/a,n/a,n/a,99.6,71,11,18,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-R4 ,Plagioclase,Phenocryst Rim,md1,58.8,n/a,25.1,0.27,n/a,n/a,7.0,6.9,0.9,n/a,n/a,n/a,n/a,n/a,99.0,61,34,5.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-R5 ,Plagioclase,Phenocryst Rim,md1,58.7,n/a,25.0,0.18,n/a,n/a,7.0,7.4,0.7,n/a,n/a,n/a,n/a,n/a,99.0,63,33,4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-C1 ,Plagioclase,Phenocryst Core,md1,58.5,n/a,25.2,0.23,n/a,n/a,7.2,7.2,0.8,n/a,n/a,n/a,n/a,n/a,99.1,61,34,4.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-C2 ,Plagioclase,Phenocryst Core,md1,58.3,n/a,25.4,0.23,n/a,n/a,7.2,7.0,0.7,n/a,n/a,n/a,n/a,n/a,98.8,61,35,4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-C3 ,Plagioclase,Phenocryst Core,md1,58.5,n/a,25.2,0.21,n/a,n/a,7.2,7.3,0.7,n/a,n/a,n/a,n/a,n/a,99.1,62,34,3.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-C4 ,Plagioclase,Phenocryst Core,md1,58.7,n/a,25.3,0.20,n/a,n/a,7.1,7.2,0.7,n/a,n/a,n/a,n/a,n/a,99.2,62,34,4.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-C5 ,Plagioclase,Phenocryst Core,md1,58.7,n/a,25.1,0.20,n/a,n/a,7.3,7.0,0.7,n/a,n/a,n/a,n/a,n/a,99.0,61,35,3.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-R1 ,Plagioclase,Phenocryst Rim,md1,54.5,n/a,27.6,0.34,n/a,n/a,10.3,5.5,0.4,n/a,n/a,n/a,n/a,n/a,98.6,48,50,2.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-R2 ,Plagioclase,Phenocryst Rim,md1,63.8,n/a,21.9,0.31,n/a,n/a,3.2,9.0,1.6,n/a,n/a,n/a,n/a,n/a,99.8,76,15,8.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-R3 ,Plagioclase,Phenocryst Rim,md1,55.4,n/a,26.7,0.41,n/a,n/a,9.4,5.9,0.4,n/a,n/a,n/a,n/a,n/a,98.2,52,46,2.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-R4 ,Plagioclase,Phenocryst Rim,md1,54.7,n/a,27.1,0.31,n/a,n/a,9.6,5.7,0.4,n/a,n/a,n/a,n/a,n/a,97.8,51,47,2.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-R5 ,Plagioclase,Phenocryst Rim,md1,54.8,n/a,26.7,0.32,n/a,n/a,9.5,5.8,0.4,n/a,n/a,n/a,n/a,n/a,97.5,51,47,2.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-C1 ,Plagioclase,Phenocryst Core,md1,55.8,n/a,26.6,0.34,n/a,n/a,9.2,6.1,0.4,n/a,n/a,n/a,n/a,n/a,98.4,53,44,2.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-C2 ,Plagioclase,Phenocryst Core,md1,55.5,n/a,26.5,0.25,n/a,n/a,9.2,5.9,0.4,n/a,n/a,n/a,n/a,n/a,97.8,53,45,2.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-C3 ,Plagioclase,Phenocryst Core,md1,55.8,n/a,26.8,0.29,n/a,n/a,9.3,6.1,0.4,n/a,n/a,n/a,n/a,n/a,98.7,53,45,2.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-C4 ,Plagioclase,Phenocryst Core,md1,55.4,n/a,26.8,0.41,n/a,n/a,9.4,6.0,0.4,n/a,n/a,n/a,n/a,n/a,98.4,52,45,2.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC20,MW4-C5 ,Plagioclase,Phenocryst Core,md1,56.4,n/a,27.1,0.32,n/a,n/a,9.4,5.8,0.4,n/a,n/a,n/a,n/a,n/a,99.4,51,46,2.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD109,R15DD109-GM-PLAG1 ,Plagioclase,Groundmass,ort,61.5,n/a,23.8,0.26,n/a,n/a,4.7,8.1,1.1,n/a,n/a,n/a,n/a,n/a,99.5,71,23,6.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD109,R15DD109-GM-PLAG2,Plagioclase,Groundmass,ort,62.3,n/a,23.5,0.46,n/a,n/a,4.7,8.0,0.9,n/a,n/a,n/a,n/a,n/a,99.9,72,23,5.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD109,R15DD109-GM-PLAG3,Plagioclase,Groundmass,ort,62.6,n/a,23.1,0.32,n/a,n/a,4.7,8.5,1.1,n/a,n/a,n/a,n/a,n/a,100.3,72,22,6.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD109,R15DD109-GM-PLAG4,Plagioclase,Groundmass,ort,61.6,n/a,24.1,0.25,n/a,n/a,5.6,7.8,0.9,n/a,n/a,n/a,n/a,n/a,100.3,68,27,5.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD109,R15DD109-GM-PLAG5,Plagioclase,Groundmass,ort,62.8,n/a,23.3,0.24,n/a,n/a,4.4,8.2,1.3,n/a,n/a,n/a,n/a,n/a,100.2,71,21,7.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD109,R15DD109-GM-PLAG6,Plagioclase,Groundmass,ort,62.2,n/a,23.7,0.30,n/a,n/a,5.0,8.5,1.0,n/a,n/a,n/a,n/a,n/a,100.7,72,23,5.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD109,R15DD109-GM-PLAG7,Plagioclase,Groundmass,ort,61.9,n/a,23.5,0.44,n/a,n/a,5.1,8.4,0.7,n/a,n/a,n/a,n/a,n/a,100.0,72,24,4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD109,R15DD109-GM-PLAG8,Plagioclase,Groundmass,ort,61.2,n/a,23.9,0.28,n/a,n/a,5.4,7.8,1.0,n/a,n/a,n/a,n/a,n/a,99.6,68,26,5.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD109,R15DD109-GM-PLAG9,Plagioclase,Groundmass,ort,63.6,n/a,22.6,0.39,n/a,n/a,3.7,8.7,1.4,n/a,n/a,n/a,n/a,n/a,100.4,75,18,7.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD109,R15DD109-GM-PLAG10,Plagioclase,Groundmass,ort,62.8,n/a,23.3,0.22,n/a,n/a,4.4,8.2,1.2,n/a,n/a,n/a,n/a,n/a,100.1,72,21,6.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD109,R15DD109-GM-PLAG11,Plagioclase,Groundmass,ort,61.2,n/a,24.0,0.29,n/a,n/a,5.3,7.8,0.9,n/a,n/a,n/a,n/a,n/a,99.5,69,26,5.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD109,R15DD109-GM-PLAG12,Plagioclase,Groundmass,ort,61.6,n/a,23.7,0.29,n/a,n/a,5.0,8.3,0.9,n/a,n/a,n/a,n/a,n/a,99.8,71,24,5.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD109,R15DD109-GM-PLAG13,Plagioclase,Groundmass,ort,62.2,n/a,23.9,0.28,n/a,n/a,5.2,8.0,1.0,n/a,n/a,n/a,n/a,n/a,100.6,69,25,5.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD109,R15DD109-GM-PLAG14,Plagioclase,Groundmass,ort,61.4,n/a,24.2,0.28,n/a,n/a,5.6,8.0,0.9,n/a,n/a,n/a,n/a,n/a,100.4,69,26,4.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD109,R15DD109-GM-PLAG15,Plagioclase,Groundmass,ort,61.9,n/a,23.2,0.21,n/a,n/a,4.7,7.9,1.1,n/a,n/a,n/a,n/a,n/a,99.0,71,23,6.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG1,Plagioclase,Groundmass,oju,66.0,n/a,19.9,0.43,n/a,n/a,1.3,8.6,3.7,n/a,n/a,n/a,n/a,n/a,99.9,73,6.3,21,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG2,Plagioclase,Groundmass,oju,66.4,n/a,19.6,0.58,n/a,n/a,0.9,7.9,5.1,n/a,n/a,n/a,n/a,n/a,100.5,67,4.3,29,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG3,Plagioclase,Groundmass,oju,65.7,n/a,20.0,0.18,n/a,n/a,1.1,8.1,4.5,n/a,n/a,n/a,n/a,n/a,99.6,69,5.3,25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG4,Plagioclase,Groundmass,oju,66.1,n/a,18.9,0.34,n/a,n/a,0.5,7.4,5.9,n/a,n/a,n/a,n/a,n/a,99.1,64,2.4,34,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG5,Plagioclase,Groundmass,oju,62.6,n/a,21.1,0.48,n/a,n/a,3.9,8.9,1.8,n/a,n/a,n/a,n/a,n/a,98.8,73,18,10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG6,Plagioclase,Groundmass,oju,66.3,n/a,20.2,0.15,n/a,n/a,1.3,8.6,4.0,n/a,n/a,n/a,n/a,n/a,100.6,72,6.1,22,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG7,Plagioclase,Groundmass,oju,65.3,n/a,18.4,0.62,n/a,n/a,0.3,7.3,5.6,n/a,n/a,n/a,n/a,n/a,97.5,65,1.5,33,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG8,Plagioclase,Groundmass,oju,66.8,n/a,19.4,0.38,n/a,n/a,0.7,7.9,5.5,n/a,n/a,n/a,n/a,n/a,100.7,66,3.2,30,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG9,Plagioclase,Groundmass,oju,65.6,n/a,19.5,0.45,n/a,n/a,1.0,8.1,4.8,n/a,n/a,n/a,n/a,n/a,99.5,69,4.5,27,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG10,Plagioclase,Groundmass,oju,65.7,n/a,20.1,0.28,n/a,n/a,1.0,8.1,4.4,n/a,n/a,n/a,n/a,n/a,99.6,70,4.9,25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG11,Plagioclase,Groundmass,oju,65.4,n/a,20.0,0.36,n/a,n/a,1.1,8.4,4.3,n/a,n/a,n/a,n/a,n/a,99.6,71,5.3,24,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG12,Plagioclase,Groundmass,oju,65.9,n/a,19.8,0.36,n/a,n/a,1.1,8.1,4.6,n/a,n/a,n/a,n/a,n/a,99.9,69,5.0,26,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG13,Plagioclase,Groundmass,oju,64.3,n/a,21.6,0.30,n/a,n/a,2.7,8.8,2.4,n/a,n/a,n/a,n/a,n/a,100.1,74,12,13,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG14,Plagioclase,Groundmass,oju,66.0,n/a,18.9,0.42,n/a,n/a,0.6,7.7,5.7,n/a,n/a,n/a,n/a,n/a,99.3,65,3.0,32,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG15,Plagioclase,Groundmass,oju,64.0,n/a,21.7,0.42,n/a,n/a,2.8,9.2,1.7,n/a,n/a,n/a,n/a,n/a,99.8,77,13,10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG16,Plagioclase,Groundmass,oju,64.0,n/a,21.7,0.21,n/a,n/a,3.0,8.4,2.3,n/a,n/a,n/a,n/a,n/a,99.6,73,14,13,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG17,Plagioclase,Groundmass,oju,64.8,n/a,20.9,0.28,n/a,n/a,2.0,8.0,3.7,n/a,n/a,n/a,n/a,n/a,99.7,70,9.4,21,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG18,Plagioclase,Groundmass,oju,64.5,n/a,21.5,0.20,n/a,n/a,2.6,8.1,3.2,n/a,n/a,n/a,n/a,n/a,100.1,70,12,18,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG19,Plagioclase,Groundmass,oju,64.9,n/a,20.7,0.16,n/a,n/a,2.0,8.1,3.8,n/a,n/a,n/a,n/a,n/a,99.7,69,10,21,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG20,Plagioclase,Groundmass,oju,64.6,n/a,20.5,0.18,n/a,n/a,2.0,7.7,4.2,n/a,n/a,n/a,n/a,n/a,99.2,67,9.4,24,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG21,Plagioclase,Groundmass,oju,64.0,n/a,22.4,BDL,n/a,n/a,3.4,8.3,2.4,n/a,n/a,n/a,n/a,n/a,100.5,71,16,13,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG22,Plagioclase,Groundmass,oju,66.9,n/a,19.3,BDL,n/a,n/a,0.5,7.1,6.1,n/a,n/a,n/a,n/a,n/a,99.9,62,2.2,35,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG23,Plagioclase,Groundmass,oju,65.6,n/a,20.1,BDL,n/a,n/a,0.9,8.2,3.8,n/a,n/a,n/a,n/a,n/a,98.6,73,4.5,22,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG24,Plagioclase,Groundmass,oju,66.2,n/a,21.0,BDL,n/a,n/a,1.7,7.7,4.3,n/a,n/a,n/a,n/a,n/a,100.9,67,8.0,25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG25,Plagioclase,Groundmass,oju,65.8,n/a,20.1,BDL,n/a,n/a,1.2,7.8,4.6,n/a,n/a,n/a,n/a,n/a,99.5,68,6.0,26,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG26,Plagioclase,Groundmass,oju,64.4,n/a,22.2,BDL,n/a,n/a,3.1,8.6,2.1,n/a,n/a,n/a,n/a,n/a,100.4,73,15,12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG27,Plagioclase,Groundmass,oju,66.4,n/a,19.6,BDL,n/a,n/a,0.8,7.8,4.8,n/a,n/a,n/a,n/a,n/a,99.4,68,3.8,28,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS070,R14TS070-GM-PLAG28,Plagioclase,Groundmass,oju,64.7,n/a,20.2,BDL,n/a,n/a,1.1,7.6,4.6,n/a,n/a,n/a,n/a,n/a,98.2,68,5.2,27,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
